"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Rank1"
"809486"	44.9513572368229	1.72114273965855	0.442154116996003	3.89263081242352	9.91629988774049e-05	0.00208712679264992	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Polaribacter"	NA	NA
"113013"	53.5803615496504	-1.84757405024207	0.427930842214543	-4.31745943031559	1.57835407517965e-05	0.00064002257748535	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Mesonia"	NA	NA
"79936"	27.6725200901068	2.42499711659991	0.495651712967749	4.89254259221675	9.95415651256026e-07	8.07282093168637e-05	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Colwelliaceae"	NA	NA	NA
"140823"	1.53777709503945	-1.73218512633956	0.651316430715066	-2.65951393923508	0.0078253491834682	0.0456819596097559	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"1144693"	2.74373805510044	1.52919977548079	0.47920665545926	3.19110713104608	0.0014172871683835	0.01401731577511	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Tenacibaculum"	NA	NA
"312446"	20.1919724317824	-1.73463996719716	0.420486723929988	-4.12531447125066	3.70228532227451e-05	0.00103536324012573	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Winogradskyella"	"thalassocola"	NA
"4406967"	1.45332945844457	-1.86380822556298	0.705642057059531	-2.64129413335938	0.00825899829751781	0.0471693494315982	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"1106902"	104.743912878923	1.41787393801576	0.432974996707282	3.2747247503863	0.00105764970169934	0.0111396611438723	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA	NA
"41476"	15.5367923459366	-1.56554993686303	0.53332065082627	-2.93547593635749	0.00333036441349024	0.023901995923368	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Alcanivoracaceae"	"Alcanivorax"	NA	NA
"1112555"	36.9840800507305	1.2749521863488	0.43629901927552	2.92219814856763	0.00347570341132899	0.0246278369383296	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA	NA
"279006"	281.178325143778	1.29359782681822	0.453123064481592	2.85484877777784	0.00430573252959945	0.0288590833182244	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA	NA
"233487"	12.5945753656709	-1.90784545075196	0.536145448298608	-3.55844753845487	0.000373053282068545	0.00552283635331942	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"562023"	3.56259451346113	-2.16614429200022	0.584740100260644	-3.70445654579645	0.0002118444179717	0.00390467779488746	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"572670"	68.1377761549765	1.82214124134196	0.501233174681446	3.63531652209574	0.000277639537904079	0.00469095135917099	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA	NA
"513711"	5.73268172045617	2.17204749562543	0.729912615343933	2.97576374207749	0.00292259921879862	0.0219843248729533	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Arcobacter"	NA	NA
"575317"	209.628001124639	2.13518681385274	0.522450272132667	4.08687089995532	4.37230254133677e-05	0.00114972763872724	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Phaeobacter"	NA	NA
"575667"	14.7206033988675	-2.12371683154724	0.476348087585333	-4.45832971076387	8.26007800168756e-06	0.000434230866834864	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"1136524"	249.591744902418	1.87780030706106	0.508229888228788	3.69478527444599	0.000220072687310766	0.00396619887575626	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA	NA
"558885"	47.9054790373354	1.65157403377798	0.521063403976062	3.16962200986553	0.00152637359614219	0.014736773648468	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA	NA
"560509"	35.1625998102817	1.80730668697497	0.478696334412744	3.77547634491946	0.00015970218034822	0.00313298711582504	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Colwelliaceae"	NA	NA	NA
"2855646"	21.7825346588159	1.52981762335017	0.485525882835098	3.15084669516938	0.0016279791604395	0.015003307944505	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oceanospirillaceae"	"Amphritea"	NA	NA
"789777"	45.1071852906584	-2.70331043607172	0.481107647448894	-5.61893050423582	1.92143117297935e-08	5.19426893762084e-06	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"580835"	673.868730127139	1.65756438178965	0.439494107510128	3.77152811258442	0.000162250874062456	0.00313298711582504	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Tenacibaculum"	NA	NA
"260198"	195.926287531836	1.30720797733085	0.41883497402986	3.12105735763522	0.00180202931607014	0.0157299362702456	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA	NA
"226794"	7.87896679751141	1.55566428591245	0.478531106140408	3.25091570004647	0.00115033961047073	0.0119605823601508	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA	NA
"547018"	4.59355327217315	1.39965179483755	0.51816596136706	2.70116506909272	0.00690970354553085	0.0415094042624112	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Polaribacter"	NA	NA
"4333177"	6.45458033513042	1.93500019296118	0.49746746021877	3.88970203621002	0.000100367379671205	0.00208712679264992	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA	NA
"140912"	6.89270212865308	-1.78889190695019	0.519841705449157	-3.44122429616251	0.000579088283825149	0.00719728788005044	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"New.ReferenceOTU454"	8.85262793359779	-1.42743941621512	0.490504386129106	-2.91014607938573	0.00361259862971226	0.0250411751170653	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.ReferenceOTU4031"	437.351953655623	1.9509014904803	0.457725781988558	4.26216212249339	2.02458472576835e-05	0.000731126790686383	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oceanospirillaceae"	"Marinomonas"	NA	NA
"New.ReferenceOTU160"	3.2660729204672	-2.26260184615667	0.689087322955049	-3.28347623121817	0.00102535290804513	0.0109415948476921	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.ReferenceOTU5482"	5.74774500836999	-1.51609687010023	0.499836614100939	-3.0331848994841	0.00241987280986406	0.0191387098615311	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.ReferenceOTU2459"	35.0681687010452	-2.0959017273336	0.72617785243417	-2.88620992819882	0.00389911985115286	0.0265729932713023	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	NA	NA
"New.ReferenceOTU4659"	61.1986091415852	2.96592485597866	0.54069476545259	5.4853959118617	4.1254441385308e-08	6.69147039269696e-06	"Bacteria"	"GN02"	"BD1-5"	NA	NA	NA	NA	NA
